plinth_code,project_name,hrera_project_name,rera_number,registration_number,quarter_end_date,quarter_label,total_units,sold_in_quarter_units,cumulative_sold_units,cumulative_absorption_pct,capped_at_total_units
GGM-66-EDI,Smartworld The Edition,SMARTWORLD THE EDITION,GGM/756/488/2023/100,GGM/756/488/2023/100 DATED 06.11.2023,2026-03-31,JAN-MAR,961,15,594,61.81%,false
GGM-69-TRU,Trump Tower 2,TRUMP RESIDENCES GURGAON,GGM/925/657/2025/28,GGM/925/657/2025/28 DATED 13.03.2025,2026-03-31,JAN-MAR,298,2,249,83.56%,false
GGM-70-CRI,Tulip Crimson,TULIP CRIMSON,GGM/834/566/2024/61,GGM/834/566/2024/61 DATED 12.08.2024,2026-03-31,JAN-MAR,720,0,307,42.64%,false
GGM-70-MEL,Tulip Melrose,TULIP MELROSE,GGM/1007/739/2025/110,GGM/1007/739/2025/110 DATED 07.11.2025,2026-03-31,JAN-MAR,608,21,21,3.45%,false
GGM-71-CLO,Signature Global Cloverdale SPR,SIGNATUREGLOBAL CLOVERDALE SPR,GGM/955/687/2025/58,GGM/955/687/2025/58 DATED 10.06.2025,2026-03-31,JAN-MAR,837,283,776,92.71%,false
GGM-71-OGE,Trehan One Good Earth,ONE GOOD EARTH,GGM/515/247/2021/83,GGM/515/247/2021/83 DATED 16.11.2021,2025-12-31,OCT-DEC,207,1,207,100.00%,true
GGM-71-TIT,Signature Global Titanium SPR,SIGNATUREGLOBAL TITANIUM SPR,GGM/831/563/2024/58,GGM/831/563/2024/58 DATED 03.06.2024,2026-03-31,JAN-MAR,613,41,613,100.00%,true
GGM-76-PRN,DLF Privana North,DLF PRIVANA NORTH,GGM/954/686/2025/57,GGM/954/686/2025/57 DATED 05.06.2025,2026-03-31,JAN-MAR,1169,10,75,6.42%,false
GGM-76-PRW,DLF Privana West,DLF PRIVANA WEST,GGM/819/551/2024/46,GGM/819/551/2024/46 DATED 22.04.2024,2026-03-31,JAN-MAR,795,0,24,3.02%,false
GGM-77-PRI,DLF Privana South,DLF PRIVANA SOUTH,GGM/772/504/2023/116,GGM/772/504/2023/116 DATED 18.12.2023,2026-03-31,JAN-MAR,1113,0,116,10.42%,false
GGM-79-A,Bestech Altura,GROUP HOUSING COLONY,96 OF 2017,96 OF 2017 DATED 28.08.2017,2023-12-31,OCT-DEC,1040,43,680,65.38%,false
GGM-79-AHP,M3M Antalya Hills Phase I,M3M ANTALYA HILLS PHASE 1,GGM/650/382/2022/125,GGM/650/382/2022/125 DATED 23.12.2022,2026-03-31,JAN-MAR,636,2,636,100.00%,true
GGM-79-ANT,M3M Antalya Hills,M3M ANTALYA HILLS PHASE 1,GGM/650/382/2022/125,GGM/650/382/2022/125 DATED 23.12.2022,2026-03-31,JAN-MAR,636,2,636,100.00%,true
GGM-79-GOL,M3M Golf Hills,M3M GOLF HILLS PHASE 1,GGM/704/436/2023/48,GGM/704/436/2023/48 DATED 29.03.2023,2026-03-31,JAN-MAR,2618,0,2618,100.00%,true
GGM-80-ARA,Sobha Aranya,SOBHA ARANYA PHASE-1,GGM/808/540/2024/35,GGM/808/540/2024/35 DATED 01.04.2024,2026-03-31,JAN-MAR,527,10,124,23.53%,false
GGM-80-ELI,Conscient Eliara,ELAIRA RESIDENCES PHASE-1,GGM/917/649/2025/20,GGM/917/649/2025/20 DATED 20.02.2025,2026-03-31,JAN-MAR,268,3,268,100.00%,true
GGM-80-FAI,Eldeco Fairway Reserve,ELDECO FAIRWAY RESERVE,GGM/880/612/2024/107,GGM/880/612/2024/107 DATED 23.10.2024,2026-03-31,JAN-MAR,368,2,211,57.34%,false
GGM-80-P,Conscient PARQ,PARQ,GGM/818/550/2024/45,GGM/818/550/2024/45 DATED 22.04.2024,2026-03-31,JAN-MAR,448,3,249,55.58%,false
GGM-84-NAN,Ganga Realty Nandaka,NANDAKA,GGM/752/484/2023/96,GGM/752/484/2023/96 DATED 23.10.2023,2025-12-31,OCT-DEC,366,0,48,13.11%,false
GGM-84-TWI,Signature Global Twin Tower DXP,SIGNATUREGLOBAL TWIN TOWER DXP,GGM/866/598/2024/93,GGM/866/598/2024/93 DATED 09.09.2024,2026-03-31,JAN-MAR,383,57,368,96.08%,false
GGM-85-ANA,Ganga Realty Anantam,ANANTAM,GGM/829/561/2024/56,GGM/829/561/2024/56 DATED 03.06.2024,2025-12-31,OCT-DEC,714,1,105,14.71%,false
GGM-86-SER,Emaar Serenity Hills,SERENITY HILLS (PHASE-1),GGM/993/725/2025/96,GGM/993/725/2025/96 DATED 16.10.2025,2026-03-31,JAN-MAR,581,0,0,0.00%,false
GGM-89-SWG,Smart World Gems,SMARTWORLD GEMS,GGM/502/234/2021/70,GGM/502/234/2021/70 DATED 25.10.2021,2026-03-31,JAN-MAR,2024,0,1558,76.98%,false
GGM-89-ZEN,Godrej Zenith,GODREJ ZENITH,GGM/799/531/2024/26,GGM/799/531/2024/26 DATED 18.03.2024,2026-03-31,JAN-MAR,1778,0,531,29.87%,false
GGM-93-AP,Ashiana Amarah Phase 4,ASHIANA AMARAH PHASE 4,GGM/845/577/2024/72,GGM/845/577/2024/72 DATED 01.07.2024,2026-03-31,JAN-MAR,280,4,80,28.57%,false
GGM-93-AP2,Ashiana Amarah Phase 5,ASHIANA AMARAH PHASE 5,GGM/912/644/2025/15,GGM/912/644/2025/15 DATED 13.02.2025,2026-03-31,JAN-MAR,248,14,84,33.87%,false
GGM-GWP-L,Adani Lushlands,LUSHLANDS,GGM/837/569/2024/64,GGM/837/569/2024/64 DATED 14.06.2024,2026-03-31,JAN-MAR,251,0,225,89.64%,false
GGM-GWP-M,Fantasy The Manor,THE MANOR,GGM/811/543/2024/38,GGM/811/543/2024/38 DATED 08.04.2024,2026-03-31,JAN-MAR,120,99,120,100.00%,true
GGM-GWP-V,Adani Veris,VERIS,GGM/943/675/2025/46,GGM/943/675/2025/46 DATED 01.05.2025,2026-03-31,JAN-MAR,32,0,32,100.00%,false
GGM-MAN-GIC2,M3M Gurgaon International City,GURGAON INTERNATIONAL CITY,GGM/991/723/2025/94,GGM/991/723/2025/94 DATED 16.10.2025,2026-03-31,JAN-MAR,286,21,21,7.34%,false
GGM-NH8-CCN,Signature City Of Colours NH 8,CITY OF COLOURS NH-8,GGM/874/606/2024/101,GGM/874/606/2024/101 DATED 07.10.2024,2026-03-31,JAN-MAR,1058,92,1058,100.00%,true
GGM-NH8-GCC,Signature Global City Of Colours,CITY OF COLOURS NH-8,GGM/874/606/2024/101,GGM/874/606/2024/101 DATED 07.10.2024,2026-03-31,JAN-MAR,1058,92,1058,100.00%,true
GGM-SLK-HR,Silverglades Hightown Residences,HIGHTOWN,GGM/406/138/2020/22,GGM/406/138/2020/22 DATED 01.09.2020,2026-03-31,JAN-MAR,500,1,187,37.40%,false
